year,group_name,hiuyi_name,cffid,count
2019,阿里,Computer Vision and Pattern Recognition,2122280177_0,8
2019,阿里,Meeting of the Association for Computational Linguistics,2123670350_0,12
2019,阿里,International Conference on Computer Vision,2120665855_0,8
2019,阿里,International Joint Conference on Artificial Intelligence,2122547259_0,31
2019,阿里,International Conference on Machine Learning,2122362464_0,3
2019,阿里,Neural Information Processing Systems,2124815797_0,8
2019,阿里,IEEE Transactions on Pattern Analysis and Machine Intelligence,2114134642_0,2
2019,阿里,International Journal of Computer Vision,2112195503_0,2
2019,阿里,Artificial Intelligence,2113800408_0,1
2019,阿里,Journal of Machine Learning Research,2110409127_0,0
2020,百度,National Conference on Artificial Intelligence,2122770072_0,22
2020,百度,Computer Vision and Pattern Recognition,2122280177_0,0
2020,百度,Meeting of the Association for Computational Linguistics,2123670350_0,0
2020,百度,International Conference on Computer Vision,2120665855_0,0
2020,百度,International Joint Conference on Artificial Intelligence,2122547259_0,0
2020,百度,International Conference on Machine Learning,2122362464_0,0
2020,百度,Neural Information Processing Systems,2124815797_0,0
2020,百度,IEEE Transactions on Pattern Analysis and Machine Intelligence,2114134642_0,0
2020,百度,International Journal of Computer Vision,2112195503_0,0
2020,百度,Artificial Intelligence,2113800408_0,0
2020,百度,Journal of Machine Learning Research,2110409127_0,0
2020,腾讯,National Conference on Artificial Intelligence,2122770072_0,68
2020,腾讯,Computer Vision and Pattern Recognition,2122280177_0,3
2020,腾讯,Meeting of the Association for Computational Linguistics,2123670350_0,0
2020,腾讯,International Conference on Computer Vision,2120665855_0,0
2020,腾讯,International Joint Conference on Artificial Intelligence,2122547259_0,2
2020,腾讯,International Conference on Machine Learning,2122362464_0,0
2020,腾讯,Neural Information Processing Systems,2124815797_0,0
2020,腾讯,IEEE Transactions on Pattern Analysis and Machine Intelligence,2114134642_0,0
2020,腾讯,International Journal of Computer Vision,2112195503_0,4
2020,腾讯,Artificial Intelligence,2113800408_0,0
2020,腾讯,Journal of Machine Learning Research,2110409127_0,0
2020,阿里,National Conference on Artificial Intelligence,2122770072_0,39
2020,阿里,Computer Vision and Pattern Recognition,2122280177_0,0
2020,阿里,Meeting of the Association for Computational Linguistics,2123670350_0,0
2020,阿里,International Conference on Computer Vision,2120665855_0,0
2020,阿里,International Joint Conference on Artificial Intelligence,2122547259_0,2
2020,阿里,International Conference on Machine Learning,2122362464_0,0
2020,阿里,Neural Information Processing Systems,2124815797_0,0
2020,阿里,IEEE Transactions on Pattern Analysis and Machine Intelligence,2114134642_0,0
2020,阿里,International Journal of Computer Vision,2112195503_0,0
2020,阿里,Artificial Intelligence,2113800408_0,0
2020,阿里,Journal of Machine Learning Research,2110409127_0,0
